1;114;1;4;1068;815;896;5
2;128;10;7;1320;1036;1255;15
3;178;1;6;1917;1253;1453;10
4;120;3;1;1543;1230;974;14
5;158;8;2;1899;1322;757;17
6;163;4;4;1572;1364;1294;3
7;194;5;6;1885;980;1415;6
8;200;8;4;1462;1181;823;8
9;165;4;3;1861;1575;1103;9
10;100;1;2;1061;1512;979;9
11;187;3;9;1203;1313;536;14
12;105;5;6;1803;1302;1041;7
13;175;9;4;1527;907;1400;3
14;193;7;3;1376;1469;1454;4
15;110;4;3;1942;931;811;17
16;143;2;5;1225;1299;1179;12
17;154;4;8;1737;1234;1421;15
18;100;2;7;1245;897;1427;8
19;177;2;2;1103;1434;847;8
20;182;1;5;1253;1113;521;2
21;179;9;8;1517;1604;664;10
22;190;6;7;1965;1431;884;13
23;161;6;9;1253;1132;981;7
24;198;1;5;1100;1315;614;8
25;127;10;7;1006;839;933;17
26;200;3;8;1520;1770;528;16
27;171;2;2;1363;1503;688;7
28;199;3;5;1655;1470;1110;5
29;107;5;2;1212;877;847;7
30;154;5;1;1550;1608;1379;12
31;105;4;9;1791;1231;1190;13
32;113;5;4;1869;1061;868;14
33;159;4;1;1158;1382;1123;13
34;170;2;7;1021;1737;1207;11
35;109;2;8;1543;1472;1349;2
36;173;4;7;1273;1376;1320;12
37;153;3;8;1761;1246;853;14
38;173;4;5;1484;1736;833;9
39;171;3;1;1047;1583;1218;14
40;188;9;4;1981;849;1437;7
41;127;6;8;1488;1379;1386;14
42;176;9;9;1750;1512;552;8
43;128;3;5;1981;1413;774;1
44;131;10;3;1941;1455;1056;16
45;102;1;8;1644;1265;1054;2
46;169;4;8;1722;1130;803;13
47;159;9;2;1744;1701;698;15
48;174;6;9;1320;1158;772;16
49;155;4;7;1438;1463;710;9
50;111;10;1;1673;1542;625;5
51;101;5;3;1502;1447;1245;11
52;177;1;2;1995;1006;828;10
53;151;6;4;1443;1119;872;5
54;128;3;9;1552;984;934;13
55;110;6;3;1430;1036;1154;14
56;106;1;7;1223;1362;513;10
57;114;10;8;1807;920;681;13
58;197;4;3;1384;1581;1051;8
59;199;1;9;1269;1219;863;1
60;195;9;5;1445;1156;990;9
61;110;9;6;1253;1399;983;16
62;161;2;6;1875;1366;1414;3
63;100;6;8;1076;1780;1067;11
64;120;9;9;1207;935;953;8
65;179;5;1;1197;1703;520;4
66;172;3;1;1000;1740;554;8
67;199;10;7;1593;1796;575;2
68;148;7;6;1722;1341;908;3
69;159;7;2;1182;1669;1322;16
70;135;2;7;1961;1477;824;5
71;146;9;5;1860;1145;568;15
72;101;2;6;1410;970;1227;13
73;150;2;3;1806;1623;1045;1
74;146;5;1;1323;1789;1280;4
75;194;9;2;1533;1023;1308;1
76;190;9;1;1117;1576;1159;12
77;138;1;8;1495;1510;869;17
78;182;6;1;1159;1767;1090;4
79;158;6;4;1732;1123;771;16
80;126;2;5;1579;1348;971;5
81;137;2;7;1764;1402;972;17
82;147;2;9;1016;1022;680;8
83;151;10;5;1201;919;575;16
84;131;2;8;1645;1664;1358;10
85;124;5;8;1693;1663;1455;4
86;111;3;5;1541;1695;1288;5
87;150;10;8;1613;886;1047;15
88;119;9;2;1564;843;633;12
89;166;2;9;1727;1214;1232;9
90;135;6;1;1024;1665;797;15
91;122;8;4;1089;921;880;17
92;193;2;9;1444;1198;618;10
93;158;8;4;1919;1493;1204;16
94;193;2;4;1102;1496;1182;3
95;142;5;2;1621;1042;853;13
96;123;1;6;1105;1320;1088;8
97;124;7;4;1328;922;1229;5
98;150;5;2;1249;1326;874;14
99;102;2;3;1331;1543;1281;14
100;178;10;4;1674;1420;961;6
101;140;6;4;1235;1556;995;11
102;174;5;4;1067;1131;531;5
103;116;10;4;1764;1690;1202;12
104;108;9;2;1981;960;754;3
105;169;9;7;1734;1124;814;14
106;137;1;5;1324;1054;529;7
107;196;10;4;1387;1743;1447;13
108;125;4;5;1426;881;510;4
109;162;3;5;1679;1187;1327;2
110;118;4;8;1743;1716;810;13
111;128;2;1;1361;1638;677;15
112;105;2;9;1218;1725;945;12
113;197;3;2;1523;1044;1343;8
114;118;1;6;1480;1360;863;16
115;181;10;4;1264;1235;1422;7
116;163;6;4;1954;1033;1317;14
117;196;8;1;1506;1628;815;6
118;180;10;2;1090;1731;1481;15
119;179;7;5;1316;1651;563;15
120;121;1;3;1203;932;1325;13
121;128;6;2;1198;1464;698;2
122;172;10;1;1351;862;748;8
123;145;6;9;1463;1657;1332;16
124;114;6;5;1173;844;1289;15
125;119;2;4;1363;974;1176;13
126;156;5;2;1000;1573;603;13
