1;244;94.06;2;1;5
2;342;83.83;3.5;4;1
3;167;88.78;6;1;13
4;307;7.83;4.5;5;1
5;207;12.54;1.5;1;12
6;283;41.75;6;4;7
7;364;83.89;7;1;24
8;334;69.44;4;1;17
9;311;67.72;4.5;1;4
10;338;82.25;5.5;2;5
11;358;78.57;4;1;3
12;288;41.87;1;1;9
13;383;50.81;5;3;4
14;135;39.83;2;3;6
15;108;54.76;6.5;1;19
16;320;14.55;2.5;1;22
17;178;23.1;2.5;2;21
18;332;6.19;4;1;19
19;386;77.15;5;3;17
20;276;53.09;7;3;10
21;219;96.18;3;5;24
22;260;17.99;1;1;5
23;240;29.98;5;2;21
24;143;46.04;3;1;7
25;319;36.09;5;3;24
26;114;91.96;7.5;3;1
27;327;43.94;5;4;19
28;214;32.68;4;1;24
29;279;91.45;4.5;3;18
30;157;60.69;7.5;1;4
31;223;4.17;4;4;7
32;261;4.04;5.5;1;25
33;288;96.53;4;1;8
34;184;17.31;6;4;8
35;370;69.74;3;3;1
36;167;95.67;5;2;10
37;295;36.68;6;2;10
38;254;39.45;6;2;5
39;179;35.96;6.5;3;6
40;185;59.77;7;1;8
41;355;50.25;5.5;1;13
42;161;81.92;3.5;3;25
43;381;8.06;1;3;16
44;375;67.64;7.5;5;20
45;233;75.95;7.5;5;21
46;250;71.86;4;2;2
47;292;73.09;3;3;25
48;136;91.43;2.5;1;12
49;369;19.72;2;1;13
50;131;83.36;2.5;4;1
51;192;17.2;4.5;4;20
52;190;60.76;1.5;3;25
53;185;0.99;6;5;17
54;365;69.9;4;4;18
55;235;0.77;6;1;16
56;104;54.07;1;5;16
57;263;29.16;3.5;4;14
58;396;93.16;1.5;1;22
59;231;36.27;1.5;1;10
60;138;26.52;4.5;4;13
61;332;48.69;7.5;5;4
62;206;9.73;5.5;5;9
63;181;56.02;5.5;5;9
64;380;10.87;2.5;4;1
65;309;80.57;2.5;3;10
66;378;54.18;5.5;3;16
67;146;71.91;4;5;17
68;192;38.04;5;3;24
69;235;93.99;3;5;15
70;340;63.02;4.5;2;8
71;206;14.43;5;1;19
72;220;36.87;3;5;3
73;318;85.06;7;3;21
74;246;84.33;5.5;3;13
75;195;84.98;7.5;5;20
76;311;81.23;3.5;5;18
77;157;19.69;5;4;23
78;189;55.99;5.5;4;17
79;181;21.51;5;2;9
80;117;16.37;4.5;5;4
81;211;77.26;6.5;1;20
82;171;7.92;5;2;17
83;311;49.64;4;4;23
84;179;9.36;2.5;1;25
85;241;47.76;7.5;3;22
86;332;83.83;4.5;5;4
87;154;24.05;3;5;14
88;188;63.61;5;1;7
89;328;2.03;3;2;7
90;365;25.42;6;3;16
91;331;12.36;7.5;3;4
92;220;23.54;2;4;13
93;104;26.13;5.5;1;2
94;345;31.35;5;3;18
95;204;84.51;2.5;5;16
96;218;9.45;1.5;3;11
97;270;18.18;2.5;5;4
98;113;78.74;6.5;4;4
99;386;50.96;4;2;8
100;176;21.04;1.5;2;11
101;255;59.99;7.5;2;6
102;127;25.72;2.5;3;14
103;142;40.1;4.5;2;24
104;288;98.84;4;4;19
105;354;12.8;4;1;14
106;357;87.08;1;3;3
107;102;78.31;2;5;5
108;206;9.68;6;5;16
109;358;98.51;4.5;2;20
110;193;29.5;7.5;1;18
111;124;61.76;5.5;1;21
112;246;0.74;5.5;4;10
113;213;77.32;1.5;5;6
114;228;1.45;7;1;14
115;156;12.09;3.5;3;13
116;105;11.55;3;2;10
117;340;10.9;2;5;3
118;276;10.35;3.5;1;7
119;319;57.88;5;2;7
120;392;99.29;3;2;14
121;211;49.59;5.5;2;6
122;191;95.94;1.5;4;21
123;135;78.45;1.5;5;8
124;373;60.38;1.5;2;25
125;119;66.82;6.5;2;15
126;317;72.43;5;2;23
127;284;88.69;1;3;13
128;385;20.72;5.5;2;13
129;364;28.22;7;2;3
130;173;94.53;2.5;5;19
131;268;98.73;3.5;4;6
132;387;39.22;5;2;9
133;334;18.66;3.5;5;25
134;316;87.73;2;1;23
135;112;80.66;2;1;2
136;272;41.51;3.5;2;16
137;228;37.93;5.5;5;12
138;208;79.29;7.5;2;10
139;196;20.85;6.5;3;18
140;379;88.52;4.5;3;16
141;263;82.02;5.5;4;4
142;113;38.15;6;5;8
143;304;2.5;2.5;3;13
144;377;64.37;7;1;13
145;193;37.67;6;3;13
146;369;21.73;1;3;20
147;214;50.63;5.5;4;8
148;217;99.16;7.5;1;1
149;305;84;5.5;2;22
150;238;63.85;4.5;5;13
151;238;96.52;2;2;11
152;321;94.23;2.5;1;14
153;305;85.91;2;3;5
154;213;75.77;3;3;24
155;400;21.58;4.5;4;1
156;121;26.81;4;3;17
157;296;49.95;7;5;16
158;341;5.29;1.5;2;11
159;147;3.75;5.5;2;9
160;199;91.1;7;2;18
161;251;82.71;4.5;3;9
162;350;30.5;6.5;4;14
163;345;98.58;7;5;11
164;276;50.98;7.5;4;6
165;359;90.18;7;2;16
166;316;17.67;5.5;3;6
167;293;84.58;5.5;5;14
168;104;62.97;6;4;3
169;175;56.47;6.5;4;20
170;164;41.61;2;1;6
171;219;81.54;3;2;19
172;296;17.09;4;5;7
173;156;86.69;7.5;1;9
174;231;63.86;5;2;17
175;385;5.48;3.5;2;24
176;152;7.9;6.5;2;23
177;398;95.26;1;5;14
178;111;79.64;4;3;16
179;158;2.84;5.5;1;14
180;156;29.47;1.5;2;10
181;391;13.78;6;1;19
182;334;39.53;4.5;5;24
183;357;25.72;5.5;1;5
184;231;73.08;4;4;8
185;347;78.18;1;1;1
186;343;72.1;7.5;5;11
187;334;20.32;6.5;5;25
188;156;76.42;1.5;2;10
189;257;18.56;1.5;3;17
190;161;76.82;1.5;4;25
191;386;28.73;2;1;1
192;351;86.18;2.5;5;18
193;246;45.16;7;1;2
194;265;17.86;2.5;1;12
195;395;14.68;5.5;4;1
196;372;6.24;1.5;4;11
197;389;86.22;1;3;2
198;184;20.37;5.5;2;15
199;292;91.86;4.5;5;24
200;185;14.4;6.5;5;9
201;260;17.53;5;5;7
202;200;35.47;1.5;4;12
203;264;48.56;5.5;4;25
204;276;58.61;7;5;17
205;366;9.8;7.5;3;4
206;358;7.76;5.5;1;10
207;206;51.66;3.5;4;25
208;329;34.21;2;4;17
209;262;40.17;3.5;1;16
210;384;32.92;1.5;1;6
211;257;14.82;5.5;1;19
212;132;62.01;3;4;2
213;379;21.52;2;5;23
214;127;7.15;6;2;20
215;224;84.36;6;2;7
216;372;96.63;1.5;1;14
217;386;68.19;3;1;12
218;278;55.97;1.5;1;17
219;134;34.02;2;1;10
220;303;82.01;6.5;2;21
221;220;79.53;7;4;18
222;255;59.33;3;4;4
223;384;71.15;7.5;1;17
224;117;80.05;6;5;18
225;148;70.61;1.5;3;22
226;313;13.23;5;1;10
227;109;30.38;1;2;25
228;168;8.05;1;3;7
229;313;99.26;2.5;3;12
230;149;92.12;3;1;2
231;323;23.31;7.5;1;10
232;188;38.54;6;1;1
233;295;89.43;2.5;4;16
234;162;13.83;3.5;5;13
235;332;90.86;1.5;1;6
236;385;12.44;2;2;16
237;193;12.47;2.5;1;14
238;214;51.76;3.5;4;18
239;119;58.17;5;1;4
240;330;43.94;1.5;4;24
241;335;9.36;7.5;5;5
242;102;47.83;1;3;22
243;101;79.52;7.5;1;21
244;386;9.4;7;2;2
245;222;81.62;6;5;17
246;169;34.24;7.5;2;2
247;202;30.53;7.5;1;24
248;177;34.16;1.5;1;24
249;163;50.79;6;4;16
250;188;62.26;6;3;8
251;128;96.6;5.5;3;13
252;391;97.18;4.5;3;2
253;151;75.9;4;3;12
254;106;44.34;1;3;12
255;216;2.38;7.5;1;5
256;190;10.61;1;5;15
257;311;94.91;6.5;2;4
258;374;64.79;7.5;5;18
259;126;9.84;5.5;2;5
260;192;6.32;4;5;11
261;148;40.99;1;4;2
262;311;37.74;2.5;5;4
263;255;46.59;4.5;3;10
264;174;14.27;2.5;1;14
265;386;4.34;4;2;10
266;242;38.13;1.5;4;10
267;257;13.56;4.5;5;5
268;344;86.4;2;3;24
269;350;47.35;1;1;23
270;170;69.3;6.5;1;18
271;221;50.59;5.5;1;21
272;228;84.62;2.5;1;9
273;173;20.6;4;3;16
274;195;82.12;5.5;1;24
275;300;15.34;6;1;20
276;308;48.14;2;1;24
277;346;60.01;1;4;11
278;367;62.86;1;3;6
279;141;86.14;7;2;25
280;335;1.83;7;5;18
281;368;12.4;4;2;19
282;196;34.33;5.5;5;2
283;296;95.1;7;5;6
284;205;39.38;3.5;4;8
285;143;14.56;2.5;4;9
286;193;14.89;5;1;8
287;125;12.97;5.5;3;17
288;187;7.32;6.5;5;23
289;275;17.72;3.5;2;21
290;282;84.53;6;1;3
291;138;36.43;2.5;3;8
292;237;59.45;5.5;1;5
293;384;59.24;4.5;1;20
294;336;25.86;2;3;24
295;303;10.2;2;5;22
296;113;56.61;4.5;2;25
297;168;75.21;4;2;19
298;288;89.02;2.5;4;14
299;343;40.99;4.5;1;18
300;258;35.23;3;4;5
301;177;3.23;5;5;18
302;290;69.99;5.5;2;22
303;262;73.74;1;4;17
304;390;39.92;1;4;25
305;243;55.48;7.5;5;1
306;177;2.03;7;4;18
307;145;87.57;3.5;4;4
308;319;46.23;2.5;2;6
309;141;86.44;6;5;3
310;109;43.59;7.5;5;3
311;104;81.59;2;4;25
312;362;41.24;2;4;22
313;400;3.25;5.5;4;12
314;388;79.39;6.5;5;16
315;322;80.41;5.5;2;13
316;259;17.55;7.5;3;15
317;286;66.22;3.5;5;17
318;301;7.15;6.5;5;14
319;146;18.92;1.5;2;19
320;198;80.41;6.5;2;24
321;395;57.94;5.5;5;21
322;217;20.62;3.5;2;17
323;224;1.97;6.5;4;7
324;230;62;2.5;3;5
325;396;10.33;5.5;1;21
326;284;88.96;6.5;1;21
327;293;54.13;6.5;2;22
328;109;72.14;5.5;4;9
329;225;34.2;4.5;2;1
330;313;27.93;7;1;14
331;379;5.93;7;5;11
332;367;94.44;5.5;4;19
333;263;49.71;6.5;5;14
334;301;99.57;7.5;2;13
335;119;53.22;1.5;3;10
336;329;2;1.5;2;6
337;321;87.12;1.5;4;18
338;380;9.97;1.5;3;1
339;203;14.6;2;3;21
340;188;52.45;5.5;4;6
341;253;26.83;5.5;1;25
342;244;63.15;7;2;10
343;282;83.44;4;3;10
344;125;40.88;6;5;1
345;346;54.38;1;2;18
346;286;68.47;5.5;3;17
347;144;67.24;4.5;3;14
348;254;93.8;6;3;4
349;333;82.4;4.5;5;22
350;347;76.47;6.5;1;12
351;223;55.43;4;5;18
352;361;31.65;6;1;6
353;169;15.25;2;2;5
354;233;12.72;3.5;4;7
355;335;34.48;3.5;2;14
356;307;0.06;5;2;1
357;155;42.1;3;1;9
358;123;95.68;7.5;2;1
359;223;26.87;3;4;7
360;133;75.89;4;3;12
361;232;49.63;1.5;5;3
362;342;7.82;1;1;20
363;110;5.04;7.5;1;13
364;217;35.71;4;4;4
365;291;75.59;5.5;2;4
366;266;67.66;3;5;15
367;323;6.13;4.5;5;6
368;329;26.87;5.5;1;24
369;136;97.12;1;3;24
370;316;27.52;2.5;1;12
371;190;89.39;4.5;3;4
372;338;7.14;3;2;24
373;114;27.9;3;3;22
374;123;44.4;4;2;21
375;395;77.46;1;2;1
376;220;97.7;1.5;4;19
377;208;43.72;5.5;1;4
378;320;36.46;2;3;14
379;131;34.15;3.5;1;9
380;145;77.06;1.5;1;19
381;370;6.15;3;2;23
382;375;86.69;5;4;19
383;168;49.23;3;2;16
384;205;26.62;3;3;16
385;293;25.47;5;2;11
386;333;53.65;6.5;4;4
387;289;81.15;3;3;12
388;312;68.18;6.5;1;14
389;239;38.56;4;1;15
390;213;50.83;7.5;2;4
391;177;40.73;4.5;3;22
392;246;19.06;1;3;1
393;173;70.63;2;2;2
394;389;17.82;1.5;5;8
395;229;71.11;6;4;10
396;128;22.24;5.5;5;5
397;331;33.52;3;5;15
398;296;47.7;5.5;1;8
399;191;85.77;2;2;7
400;203;62.03;4.5;4;8
401;283;3.25;3;2;24
402;357;29.42;4.5;1;11
403;251;58.02;3.5;5;7
404;156;14.45;1.5;3;19
405;328;38.62;6.5;2;18
406;210;1.76;2;1;25
407;115;57.87;1;5;10
408;214;72.51;5.5;3;24
409;115;2.29;6;4;25
410;227;26.7;2.5;5;8
411;222;95.86;1.5;5;20
412;234;12.46;4;1;17
413;152;99.7;1;1;7
414;262;93.17;5.5;1;22
415;146;7.83;4.5;1;4
416;211;11.74;4.5;3;10
417;266;43.66;6.5;4;23
418;227;10.76;3.5;2;21
419;298;42.31;1;2;8
420;380;24.76;5;1;3
421;235;47.53;2.5;4;19
422;262;23.04;7.5;1;19
423;154;71.86;1;1;7
424;161;99.73;1.5;1;10
425;282;20.87;3;1;3
426;260;10.87;3;3;3
427;397;73.11;6.5;3;2
428;126;81.08;6;1;18
429;243;84.61;1;2;16
430;372;21.59;7;5;1
431;253;9.25;4.5;2;21
432;277;91.18;7;5;16
433;150;14.78;2;2;12
434;277;9.59;2.5;2;22
435;399;30.42;2.5;2;4
436;145;14.7;6.5;1;4
437;327;5.7;2;2;7
438;239;13.46;1;4;21
439;285;27.42;4.5;1;9
440;143;62.25;2;1;21
441;328;8.03;2;3;10
442;261;74.09;2.5;4;25
443;100;3.26;2;4;4
444;393;25.93;1;4;5
445;327;50.73;2.5;3;25
446;395;59.76;4;1;21
447;312;30.27;3;4;15
448;167;80.28;6;4;4
449;101;5.65;6;5;6
450;180;76.86;2.5;3;3
451;181;65.14;3.5;1;15
452;137;19.72;2;4;16
453;202;53.04;2.5;1;11
454;287;72.47;3.5;5;16
455;240;60.29;1;4;15
456;239;41.43;3;2;7
457;284;21.79;3.5;5;7
458;190;48.43;4;2;23
459;227;43.83;5.5;1;9
460;272;20.06;6;1;21
461;178;26.14;5;2;15
462;305;90.47;5;2;16
463;167;57.53;1.5;4;24
464;105;78.8;4.5;4;25
465;115;4.83;3;5;3
466;104;25.77;2;4;7
467;220;8.01;4.5;5;3
468;296;12.06;2;4;16
469;235;22.74;6;4;15
470;112;10.86;3.5;3;15
471;234;8;4;1;9
472;257;55.42;3.5;1;16
473;113;19.65;1;1;2
474;379;21.98;2;1;22
475;348;71.06;4;3;13
476;145;90.26;5.5;2;7
477;128;93.8;4;3;17
478;349;41.8;5;2;9
479;268;24.07;3;5;17
480;293;78.65;1.5;5;10
481;322;38.8;6;5;2
482;243;63.93;2;4;12
483;190;77.66;6;5;23
484;280;56.11;1.5;4;15
485;288;75.22;5;5;19
486;257;40.08;2;4;4
487;389;82.15;2;2;24
488;110;14.55;7.5;1;13
489;114;24.75;1;3;11
490;323;83.45;7.5;5;10
491;243;7.59;2;1;25
492;331;66.22;7.5;2;2
493;298;46.91;2;5;13
494;116;8.57;1.5;4;9
495;163;92.38;2.5;2;5
496;230;36.23;6.5;4;4
