1;Bardo;1
2;Bielawa;1
3;Bierutów;1
4;Bogatynia;1
5;Boguszów-Gorce;1
6;Boles³awiec;1
7;Bolków;1
8;Brzeg Dolny;1
9;Bystrzyca K³odzka;1
10;Chocianów;1
11;Chojnów;1
12;Cieplice Œl¹skie-Zdrój;1
13;Duszniki-Zdrój;1
14;Dzier¿oniów;1
15;G³ogów;1
16;G³uszyca;1
17;Góra;1
18;Gryfów Œl¹ski;1
19;Jawor;1
20;Jaworzyna Œl¹ska;1
21;Jedlina-Zdrój;1
22;Jelcz-Laskowice;1
23;Jelenia Góra;1
24;Kamienna Góra;1
25;Karpacz;1
26;K¹ty Wroc³awskie;1
27;K³odzko;1
28;Kowary;1
29;Kudowa-Zdrój;1
30;L¹dek-Zdrój;1
31;Legnica;1
32;Leœna;1
33;Lewin K³odzki;1
34;Lubañ;1
35;Lubawka;1
36;Lubin;1
37;Lubomierz;1
38;Lwówek Œl¹ski;1
39;Mieroszów;1
40;Miêdzybórz;1
41;Miêdzylesie;1
42;Milicz;1
43;Mirsk;1
44;Niemcza;1
45;Nowa Ruda;1
46;Nowogrodziec;1
47;Oborniki Œl¹skie;1
48;Oleœnica;1
49;Olszyna;1
50;O³awa;1
51;Piechowice;1
52;Pieñsk;1
53;Pieszyce;1
54;Pi³awa Górna;1
55;Polanica-Zdrój;1
56;Polkowice;1
57;Pracze Odrzañskie;1
58;Prochowice;1
59;Prusice;1
60;Przemków;1
61;Radków;1
62;Siechnice;1
63;Sobótka;1
64;Stronie Œl¹skie;1
65;Strzegom;1
66;Strzelin;1
67;Syców;1
68;Szczawno-Zdrój;1
69;Szczytna;1
70;Szklarska Porêba;1
71;Œcinawa;1
72;Œroda Œl¹ska;1
73;Œwidnica;1
74;Œwiebodzice;1
75;Œwieradów Zdrój;1
76;Œwierzawa;1
77;Trzebnica;1
78;Twardogóra;1
79;Wa³brzych;1
80;W¹sosz;1
81;Wêgliniec;1
82;Wi¹zów;1
83;Wleñ;1
84;Wojcieszów;1
85;Wo³ów;1
86;Wroc³aw;1
87;Zawidów;1
88;Z¹bkowice Œl¹skie;1
89;Zgorzelec;1
90;Ziêbice;1
91;Z³otoryja;1
92;Z³oty Stok;1
93;¯arów;1
94;¯migród;1
95;Aleksandrów Kujawski;2
96;Barcin;2
97;Brodnica;2
98;Brzeœæ Kujawski;2
99;Bydgoszcz;2
100;Che³mno;2
101;Che³m¿a;2
102;Chodecz;2
103;Ciechocinek;2
104;Gniewkowo;2
105;Golub-Dobrzyñ;2
106;Górzno;2
107;Grudzi¹dz;2
108;Inowroc³aw;2
109;Izbica Kujawska;2
110;Jab³onowo Pomorskie;2
111;Janikowo;2
112;Janowiec Wielkopolski;2
113;Kamieñ Krajeñski;2
114;Kcynia;2
115;Koronowo;2
116;Kowal;2
117;Kowalewo Pomorskie;2
118;Kruszwica;2
119;Lipno;2
120;Lubieñ Kujawski;2
121;Lubraniec;2
122;£abiszyn;2
123;£asin;2
124;Mogilno;2
125;Mrocza;2
126;Nak³o nad Noteci¹;2
127;Nieszawa;2
128;Nowe;2
129;Pakoœæ;2
130;Piotrków Kujawski;2
131;Radziejów;2
132;Radzyñ Che³miñski;2
133;Rypin;2
134;Sêpólno Krajeñskie;2
135;Skêpe;2
136;Solec Kujawski;2
137;Strzelno;2
138;Szubin;2
139;Œwiecie;2
140;Toruñ;2
141;Tuchola;2
142;W¹brzeŸno;2
143;Wiêcbork;2
144;W³oc³awek;2
145;¯nin;2
146;Annopol;3
147;Be³¿yce;3
148;Bia³a Podlaska;3
149;Bi³goraj;3
150;Bychawa;3
151;Che³m;3
152;Dêblin;3
153;Frampol;3
154;Hrubieszów;3
155;Janów Lubelski;3
156;Józefów k/Bi³goraja;3
157;Kazimierz Dolny;3
158;Kock;3
159;Krasnobród;3
160;Krasnystaw;3
161;Kraœnik;3
162;Lubartów;3
163;Lublin;3
164;£aszczów;3
165;£êczna;3
166;£uków;3
167;Miêdzyrzec Podlaski;3
168;Modliborzyce;3
169;Na³êczów;3
170;Opole Lubelskie;3
171;Ostrów Lubelski;3
172;Parczew;3
173;Piaski;3
174;Poniatowa;3
175;Pu³awy;3
176;Radzyñ Podlaski;3
177;Rejowiec Fabryczny;3
178;Ryki;3
179;Stoczek £ukowski;3
180;Szczebrzeszyn;3
181;Œwidnik;3
182;Tarnogród;3
183;Terespol;3
184;Tomaszów Lubelski;3
185;Tyszowce;3
186;W³odawa;3
187;Zamoœæ;3
188;Zwierzyniec;3
189;Babimost;4
190;Bytom Odrzañski;4
191;Cybinka;4
192;Czerwieñsk;4
193;Dobiegniew;4
194;Drezdenko;4
195;Gorzów Wielkopolski;4
196;Gozdnica;4
197;Gubin;4
198;I³owa;4
199;Jasieñ;4
200;Kargowa;4
201;Kostrzyn nad Odr¹;4
202;Ko¿uchów;4
203;Krosno Odrzañskie;4
204;Lubniewice;4
205;Lubsko;4
206;£êknica;4
207;Ma³omice;4
208;Miêdzyrzecz;4
209;Nowa Sól;4
210;Nowe Miasteczko;4
211;Nowogród Bobrzañski;4
212;Oœno Lubuskie;4
213;Rzepin;4
214;Skwierzyna;4
215;S³awa;4
216;S³ubice;4
217;Strzelce Krajeñskie;4
218;Sulechów;4
219;Sulêcin;4
220;Szlichtyngowa;4
221;Szprotawa;4
222;Œwiebodzin;4
223;Torzym;4
224;Trzciel;4
225;Witnica;4
226;Wschowa;4
227;Zb¹szynek;4
228;Zielona Góra;4
229;¯agañ;4
230;¯ary;4
231;Aleksandrów £ódzki;5
232;Be³chatów;5
233;Bia³a Rawska;5
234;B³aszki;5
235;Brzeziny;5
236;Drzewica;5
237;Dzia³oszyn;5
238;G³owno;5
239;Kamieñsk;5
240;Koluszki;5
241;Konstantynów £ódzki;5
242;Kroœniewice;5
243;Kutno;5
244;£ask;5
245;£êczyca;5
246;£owicz;5
247;£ódŸ;5
248;Opoczno;5
249;Ozorków;5
250;Pabianice;5
251;Pajêczno;5
252;Piotrków Trybunalski;5
253;Poddêbice;5
254;Przedbórz;5
255;Radomsko;5
256;Rawa Mazowiecka;5
257;Rzgów;5
258;Sieradz;5
259;Skierniewice;5
260;Stryków;5
261;Sulejów;5
262;Szadek;5
263;Tomaszów Mazowiecki;5
264;Tuszyn;5
265;Uniejów;5
266;Warta;5
267;Wieluñ;5
268;Wieruszów;5
269;Wolbórz;5
270;Zduñska Wola;5
271;Zelów;5
272;Zgierz;5
273;Z³oczew;5
274;¯ychlin;5
275;Alwernia;6
276;Andrychów;6
277;Biecz;6
278;Bochnia;6
279;Brzesko;6
280;Brzeszcze;6
281;Bukowno;6
282;Che³mek;6
283;Chrzanów;6
284;Ciê¿kowice;6
285;Czchów;6
286;D¹browa Tarnowska;6
287;Dobczyce;6
288;Gorlice;6
289;Grybów;6
290;Jordanów;6
291;Kalwaria Zebrzydowska;6
292;Kêty;6
293;Kraków;6
294;Krynica-Zdrój;6
295;Krzeszowice;6
296;Libi¹¿;6
297;Limanowa;6
298;Maków Podhalañski;6
299;Miechów;6
300;Mszana Dolna;6
301;Muszyna;6
302;Myœlenice;6
303;Niepo³omice;6
304;Nowe Brzesko;6
305;Nowy S¹cz;6
306;Nowy Targ;6
307;Nowy Wiœnicz;6
308;Olkusz;6
309;Oœwiêcim;6
310;Piwniczna-Zdrój;6
311;Proszowice;6
312;Rabka;6
313;Ska³a;6
314;Skawina;6
315;S³omniki;6
316;Stary S¹cz;6
317;Sucha Beskidzka;6
318;Su³kowice;6
319;Szczawnica;6
320;Œwi¹tniki Górne;6
321;Tarnów;6
322;Trzebinia;6
323;Tuchów;6
324;Wadowice;6
325;Wieliczka;6
326;Wojnicz;6
327;Wolbrom;6
328;Zakliczyn;6
329;Zakopane;6
330;Zator;6
331;¯abno;6
332;Bia³obrzegi;7
333;Bie¿uñ;7
334;B³onie;7
335;Brok;7
336;Brwinów;7
337;Chorzele;7
338;Ciechanów;7
339;Drobin;7
340;Garwolin;7
341;G¹bin;7
342;Glinojeck;7
343;Gostynin;7
344;Góra Kalwaria;7
345;Grodzisk Mazowiecki;7
346;Grójec;7
347;Halinów k/Warszawy;7
348;I³¿a;7
349;Józefów k/Otwocka;7
350;Ka³uszyn;7
351;Karczew;7
352;Koby³ka;7
353;Konstancin-Jeziorna;7
354;Kosów Lacki;7
355;Kozienice;7
356;Legionowo;7
357;Lipsko;7
358;£askarzew;7
359;£ochów;7
360;£omianki;7
361;£osice;7
362;Maków Mazowiecki;7
363;Marki;7
364;Milanówek;7
365;Miñsk Mazowiecki;7
366;M³awa;7
367;Mogielnica;7
368;Mordy;7
369;Mrozy;7
370;Mszczonów;7
371;Myszyniec;7
372;Nasielsk;7
373;Nowe Miasto nad Pilic¹;7
374;Nowy Dwór Mazowiecki;7
375;Ostro³êka;7
376;Ostrów Mazowiecka;7
377;Otwock;7
378;O¿arów Mazowiecki;7
379;Piaseczno;7
380;Piastów;7
381;Pilawa;7
382;Pionki;7
383;P³ock;7
384;P³oñsk;7
385;Podkowa Leœna;7
386;Pruszków;7
387;Przasnysz;7
388;Przysucha;7
389;Pu³tusk;7
390;Raci¹¿;7
391;Radom;7
392;Radzymin;7
393;Ró¿an;7
394;Serock;7
395;Siedlce;7
396;Sierpc;7
397;Skaryszew;7
398;Sochaczew;7
399;Soko³ów Podlaski;7
400;Sulejówek;7
401;Szyd³owiec;7
402;Tarczyn;7
403;T³uszcz;7
404;Warka;7
405;Warszawa;7
406;Weso³a;7
407;Wêgrów;7
408;Wo³omin;7
409;Wyszków;7
410;Wyszogród;7
411;Wyœmierzyce;7
412;Zakroczym;7
413;Z¹bki;7
414;Zielonka;7
415;Zwoleñ;7
416;¯elechów;7
417;¯uromin;7
418;¯yrardów;7
419;Baborów;8
420;Bia³a;8
421;Brzeg;8
422;Byczyna;8
423;Dobrodzieñ;8
424;G³ogówek;8
425;G³ubczyce;8
426;G³ucho³azy;8
427;Gogolin;8
428;Gorzów Œl¹ski;8
429;Grodków;8
430;Kêdzierzyn-KoŸle;8
431;Kietrz;8
432;Kluczbork;8
433;Kolonowskie;8
434;Korfantów;8
435;Krapkowice;8
436;Leœnica;8
437;Lewin Brzeski;8
438;Namys³ów;8
439;Niemodlin;8
440;Nysa;8
441;Olesno;8
442;Opole;8
